project,bug_id,tool,detected,rank,mrr,map,duration_seconds,execution_timestamp,comparison_timestamp,cpu_avg_percent,cpu_max_percent,memory_avg_bytes,memory_max_bytes,memory_limit_bytes,network_rx_total_bytes,network_tx_total_bytes,disk_read_total_bytes,disk_write_total_bytes,top@1,top@5,top@10
JacksonDatabind,49,locus,Yes,1.0,1.0,1.0,59.48271679878235,2025-11-22T11:13:27.114166,2025-12-25T12:38:07.219373,,,,,,,,,,1,1,1
JacksonDatabind,50,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
JacksonDatabind,50,boostnsift,Yes,11.0,0.090909,0.090909,26.269302129745483,2025-11-18T17:16:31.141507,2025-12-22T16:51:35.010325,143.8425,383.42,482562539.0,811597824.0,134861973094.0,876.0,0.0,0.0,,0,0,0
JacksonDatabind,50,buglocator,Yes,50.0,0.02,0.02,18.332568168640137,2025-12-17T14:53:59.712997,2025-12-22T16:51:35.010325,,,,,,,,,,0,0,0
JacksonDatabind,50,locus,Yes,13.0,0.076923,0.076923,56.57595682144165,2025-11-22T11:14:23.708311,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,0
JacksonDatabind,51,FlexFL,No,,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonDatabind,51,boostnsift,Yes,2.0,0.5,0.5,25.340578317642212,2025-11-18T17:16:51.316331,2025-12-22T16:51:35.010325,61.655,214.76,266506075.75,667628339.0,134861973094.0,806.0,0.0,0.0,0.0,0,1,1
JacksonDatabind,51,buglocator,Yes,47.0,0.021277,0.021277,19.501912593841553,2025-12-17T14:54:19.214967,2025-12-22T16:51:35.010325,,,,,,,,,,0,0,0
JacksonDatabind,51,locus,Yes,7.0,0.142857,0.142857,57.8921434879303,2025-11-22T11:14:47.049880,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,1
JacksonDatabind,52,FlexFL,No,,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonDatabind,52,boostnsift,Yes,9.0,0.111111,0.111111,25.513762950897217,2025-11-18T17:17:11.616944,2025-12-22T16:51:35.010325,63.16,223.54,225808219.75,530264883.0,134861973094.0,806.0,0.0,0.0,0.0,0,0,1
JacksonDatabind,52,buglocator,Yes,7.0,0.142857,0.142857,19.50353240966797,2025-12-17T14:54:38.718565,2025-12-22T16:51:35.010325,,,,,,,,,,0,0,1
JacksonDatabind,52,locus,Yes,3.0,0.333333,0.333333,46.06513071060181,2025-11-22T11:15:09.776935,2025-12-25T12:38:07.219373,,,,,,,,,,0,1,1
JacksonDatabind,53,FlexFL,No,,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonDatabind,53,boostnsift,Yes,11.0,0.090909,0.090909,25.14719033241272,2025-11-18T17:17:31.712396,2025-12-22T16:51:35.010325,76.77,185.25,408260444.0,607544934.0,134861973094.0,806.0,0.0,0.0,0.0,0,0,0
JacksonDatabind,53,buglocator,Yes,40.0,0.025,0.025,17.572893142700195,2025-12-17T14:54:56.291520,2025-12-22T16:51:35.010325,,,,,,,,,,0,0,0
JacksonDatabind,53,locus,Yes,140.0,0.007143,0.007143,61.48454189300537,2025-11-22T11:15:48.546599,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,0
JacksonDatabind,54,FlexFL,No,,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonDatabind,54,boostnsift,Yes,2.0,0.5,0.5,25.981414556503296,2025-11-18T17:17:52.522670,2025-12-22T16:51:35.010325,86.32000000000001,316.17,294510919.25,813485260.0,134861973094.0,806.0,0.0,0.0,0.0,0,1,1
JacksonDatabind,54,buglocator,Yes,1.0,1.0,1.0,17.776026248931885,2025-12-17T14:55:14.067600,2025-12-22T16:51:35.010325,,,,,,,,,,1,1,1
JacksonDatabind,54,locus,Yes,5.0,0.2,0.2,57.782872676849365,2025-11-22T11:16:07.572127,2025-12-25T12:38:07.219373,,,,,,,,,,0,1,1
JacksonDatabind,55,FlexFL,Yes,3.0,0.3333333333333333,0.3333333333333333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
JacksonDatabind,55,boostnsift,Yes,70.0,0.014286,0.014286,25.29006838798523,2025-11-18T17:18:12.608345,2025-12-22T16:51:35.010325,62.355,215.07,256940441.25,640050790.0,134861973094.0,806.0,0.0,0.0,0.0,0,0,0
JacksonDatabind,55,buglocator,Yes,16.0,0.0625,0.0625,17.208388566970825,2025-12-17T14:55:31.276043,2025-12-22T16:51:35.010325,,,,,,,,,,0,0,0
JacksonDatabind,55,locus,Yes,38.0,0.026316,0.026316,60.27934765815735,2025-11-22T11:16:48.837170,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,0
JacksonDatabind,56,FlexFL,Yes,2.0,0.5,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
JacksonDatabind,56,boostnsift,Yes,42.0,0.02381,0.02381,25.07159924507141,2025-11-18T17:18:32.462246,2025-12-22T16:51:35.010325,63.7625,219.29,444048342.75,721630003.0,134861973094.0,806.0,0.0,0.0,0.0,0,0,0
JacksonDatabind,56,buglocator,Yes,3.0,0.333333,0.333333,18.048007488250732,2025-12-17T14:55:49.324107,2025-12-22T16:51:35.010325,,,,,,,,,,0,1,1
JacksonDatabind,56,locus,Yes,6.0,0.166667,0.166667,59.66507029533386,2025-11-22T11:17:07.240639,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,1
JacksonDatabind,57,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
JacksonDatabind,57,boostnsift,Yes,1.0,1.0,1.0,26.878883361816406,2025-11-18T17:18:56.753204,2025-12-22T16:51:35.010325,114.6975,309.83,392686468.5,726034022.0,134861973094.0,806.0,0.0,0.0,0.0,1,1,1
JacksonDatabind,57,buglocator,Yes,1.0,1.0,1.0,21.653594732284542,2025-12-17T14:56:10.977758,2025-12-22T16:51:35.010325,,,,,,,,,,1,1,1
